AppID,Game Name,Playtime Forever (minutes),Playtime Forever (hours),Playtime 2 Weeks (minutes),Playtime 2 Weeks (hours),Last Played
1449850,Yu-Gi-Oh!  Master Duel,15072,251.2,0,0,2026-01-03
250900,The Binding of Isaac: Rebirth,6188,103.13,0,0,2025-09-04
1030300,Hollow Knight: Silksong,5952,99.2,0,0,2025-10-28
1938090,Call of Duty®,5396,89.93,0,0,2025-08-13
3419430,Bongo Cat,4822,80.37,125,2.08,2026-01-09
346110,ARK: Survival Evolved,4555,75.92,0,0,2025-04-16
367520,Hollow Knight,4549,75.82,0,0,2025-09-15
504230,Celeste,2757,45.95,0,0,2025-09-01
105600,Terraria,2646,44.1,0,0,2025-03-10
365670,Blender,2120,35.33,26,0.43,2026-01-16
1568590,Goose Goose Duck,1874,31.23,0,0,2025-06-21
1172470,Apex Legends,1800,30.0,0,0,2024-08-29
2281730,Combat Master,1471,24.52,0,0,2025-07-16
1755580,The Jackbox Party Starter,1453,24.22,60,1.0,2026-01-11
49520,Borderlands 2,1163,19.38,0,0,2025-02-16
1672970,Minecraft Dungeons,1042,17.37,0,0,2024-04-17
2139460,Once Human,927,15.45,0,0,2024-08-23
2357570,Overwatch® 2,870,14.5,0,0,2025-12-17
1280770,Redmatch 2,676,11.27,0,0,2025-12-22
433340,Slime Rancher,552,9.2,0,0,2026-01-05
1245620,ELDEN RING,501,8.35,0,0,2025-02-17
1686940,Bopl Battle,496,8.27,0,0,2025-08-26
1818750,MultiVersus,351,5.85,0,0,2024-06-08
1204050,Pixel Studio - best pixel art editor,349,5.82,0,0,2025-07-04
322330,Don't Starve Together,321,5.35,0,0,2023-06-26
2475490,Mouthwashing,279,4.65,0,0,2025-02-25
2828500,The Jackbox Megapicker,263,4.38,161,2.68,2026-01-11
2551020,One-armed robber,254,4.23,0,0,2025-05-25
2524890,Pixel Gun 3D: PC Edition,227,3.78,0,0,2025-02-03
1869590,Omega Strikers,224,3.73,0,0,2025-04-16
2918300,SPLITGATE: Arena Reloaded,222,3.7,0,0,2025-06-09
632360,Risk of Rain 2,195,3.25,0,0,2025-02-05
677620,Splitgate,188,3.13,0,0,2023-07-17
1313140,Cult of the Lamb,170,2.83,0,0,2024-11-02
2239140,Grapples Galore,166,2.77,0,0,2025-04-12
714010,Aimlabs,144,2.4,0,0,2025-07-18
2767030,Marvel Rivals,125,2.08,0,0,2024-12-20
391540,Undertale,121,2.02,0,0,2025-06-07
2426960,Summoners War,96,1.6,0,0,2025-04-16
760160,Vampire: The Masquerade - Bloodhunt,89,1.48,0,0,2023-07-15
1625450,Muck,87,1.45,0,0,2023-08-03
1985690,The Looker,81,1.35,0,0,2025-02-07
2428770,Die in the Dungeon: Origins,77,1.28,0,0,2025-02-03
582500,We Were Here,68,1.13,0,0,2025-01-29
1712840,Tiny Tina's Assault on Dragon Keep: A Wonderlands One-shot Adventure,65,1.08,0,0,2023-05-07
1486350,VRoid Studio,63,1.05,0,0,2025-07-23
1977530,One-armed cook,63,1.05,0,0,2025-04-11
314030,Guilty Gear X2 #Reload,56,0.93,0,0,2025-08-26
2084050,Unsolved Case,53,0.88,0,0,2025-01-29
1599340,Lost Ark,46,0.77,0,0,2024-07-02
1515950,Capcom Arcade Stadium,43,0.72,0,0,2022-07-07
383270,Hue,40,0.67,0,0,2023-06-21
344740,CRYPTARK,38,0.63,0,0,2024-05-05
461040,PICO PARK:Classic Edition,32,0.53,0,0,2025-10-08
564710,Soda Dungeon,31,0.52,0,0,2025-01-31
215080,WAKFU,29,0.48,0,0,2023-09-23
282800,100% Orange Juice,28,0.47,0,0,2024-07-11
1485080,Just Act Natural,25,0.42,0,0,2025-04-12
490250,Locomancer,22,0.37,0,0,2025-11-12
599140,Graveyard Keeper,22,0.37,0,0,2024-05-22
711810,Never Split the Party,21,0.35,0,0,2022-04-13
1252830,A Juggler's Tale,18,0.3,0,0,2024-04-16
2296990,We Were Here Expeditions: The FriendShip,15,0.25,0,0,2024-05-01
823130,Totally Accurate Battlegrounds,13,0.22,0,0,2022-03-11
699920,Despotism 3k,10,0.17,0,0,2025-02-03
761890,Albion Online,10,0.17,0,0,2024-07-25
1902490,Aperture Desk Job,10,0.17,0,0,2022-04-18
871720,Ultimate Custom Night,7,0.12,0,0,2023-11-08
70,Half-Life,0,0.0,0,0,Never
220,Half-Life 2,0,0.0,0,0,Never
320,Half-Life 2: Deathmatch,0,0.0,0,0,Never
360,Half-Life Deathmatch: Source,0,0.0,0,0,Never
29900,Dark Sector,0,0.0,0,0,Never
40990,Mafia,0,0.0,0,0,Never
219150,Hotline Miami,0,0.0,0,0,Never
220700,RPG Maker VX Ace,0,0.0,0,0,Never
226620,Desktop Dungeons,0,0.0,0,0,Never
249050,Dungeon of the ENDLESS™,0,0.0,0,0,Never
252410,SteamWorld Dig,0,0.0,0,0,Never
286690,Metro 2033 Redux,0,0.0,0,0,Never
289130,ENDLESS™ Legend,0,0.0,0,0,Never
302190,Amerzone: The Explorer’s Legacy (1999),0,0.0,0,0,Never
373600,Weapon of Choice,0,0.0,0,0,Never
384310,Dead In Bermuda,0,0.0,0,0,Never
407530,ARK: Survival Of The Fittest,0,0.0,0,0,Never
410110,12 is Better Than 6,0,0.0,0,0,Never
418670,Pankapu,0,0.0,0,0,Never
420740,The Deed,0,0.0,0,0,Never
422250,ShipLord,0,0.0,0,0,Never
431710,Space Pilgrim Episode II: Epsilon Indi,0,0.0,0,0,Never
442070,Drawful 2,0,0.0,0,0,Never
443910,TGV Voyages Train Simulator,0,0.0,0,0,Never
460960,The Deed: Dynasty,0,0.0,0,0,Never
462960,Caveman World: Mountains of Unga Boonga,0,0.0,0,0,Never
481870,Mini Thief,0,0.0,0,0,Never
489520,Minion Masters,0,0.0,0,0,Never
489630,"Warhammer 40,000: Gladius - Relics of War",0,0.0,0,0,Never
508180,Fly and Destroy,0,0.0,0,0,Never
527710,Crown Champion: Legends of the Arena,0,0.0,0,0,Never
544610,Battlestar Galactica Deadlock,0,0.0,0,0,Never
552500,Warhammer: Vermintide 2,0,0.0,0,0,Never
569610,Distant Space,0,0.0,0,0,Never
582660,Black Desert,0,0.0,0,0,Never
585690,Minimalism,0,0.0,0,0,Never
624690,NEXT JUMP: Shmup Tactics,0,0.0,0,0,Never
656940,The Theodore Adventures,0,0.0,0,0,Never
660160,Field of Glory II,0,0.0,0,0,Never
729460,Distant Space 2,0,0.0,0,0,Never
740240,Snake Eyes Dungeon,0,0.0,0,0,Never
740410,Puzzle Chambers,0,0.0,0,0,Never
753660,AtmaSphere,0,0.0,0,0,Never
813540,Scheming Through The Zombie Apocalypse: The Beginning,0,0.0,0,0,Never
862740,OneShift,0,0.0,0,0,Never
897630,Death Fungeon,0,0.0,0,0,Never
1012460,Through Abandoned: The Refuge,0,0.0,0,0,Never
1025440,Fantasy General II,0,0.0,0,0,Never
1035510,Ultimate Zombie Defense,0,0.0,0,0,Never
1063660,Bendy and the Dark Revival,0,0.0,0,0,Never
1176710,Space Crew: Legendary Edition,0,0.0,0,0,Never
1180660,Tell Me Why,0,0.0,0,0,Never
1200580,One Gun Guy,0,0.0,0,0,Never
1229380,Everhood,0,0.0,0,0,Never
1356040,Ampersat,0,0.0,0,0,Never
1368870,Field of Glory II: Medieval,0,0.0,0,0,Never
1456200,Initial Drift Online,0,0.0,0,0,Never
1486630,Intravenous,0,0.0,0,0,Never
1507190,Machinika Museum,0,0.0,0,0,Never
1510580,Toy Tinker Simulator,0,0.0,0,0,Never
1584940,Lakeburg Legacies,0,0.0,0,0,Never
1608450,Hellslave,0,0.0,0,0,Never
1703140,Isle of Jura,0,0.0,0,0,Never
1755300,Smart Factory Tycoon,0,0.0,0,0,Never
1990740,Barro GT,0,0.0,0,0,Never
2071500,Islands of Insight,0,0.0,0,0,Never
2337860,Nubs!,0,0.0,0,0,Never
2623090,Battle Simulator: Counter Stickman,0,0.0,0,0,Never
2796010,Party Club,0,0.0,0,0,Never
2881650,Content Warning,0,0.0,0,0,Never
2955840,Kitchen Wars,0,0.0,0,0,Never
3028500,Cakey's Twisted Bakery,0,0.0,0,0,Never
3062930,Unplagued,0,0.0,0,0,Never
3463050,Dreams of Aether,0,0.0,0,0,Never
