Date,Players,Game
2025-12-14,926,Counter-Strike 2
2025-12-15,912,Counter-Strike 2
2025-12-16,863,Counter-Strike 2
2025-12-17,969,Counter-Strike 2
2025-12-18,785,Counter-Strike 2
2025-12-19,670,Counter-Strike 2
2025-12-20,728,Counter-Strike 2
2025-12-21,928,Counter-Strike 2
2025-12-22,908,Counter-Strike 2
2025-12-23,729,Counter-Strike 2
2025-12-24,635,Counter-Strike 2
2025-12-25,561,Counter-Strike 2
2025-12-26,747,Counter-Strike 2
2025-12-27,684,Counter-Strike 2
2025-12-28,855,Counter-Strike 2
2025-12-29,799,Counter-Strike 2
2025-12-30,653,Counter-Strike 2
2025-12-31,850,Counter-Strike 2
2026-01-01,638,Counter-Strike 2
2026-01-02,657,Counter-Strike 2
2026-01-03,812,Counter-Strike 2
2026-01-04,810,Counter-Strike 2
2026-01-05,957,Counter-Strike 2
2026-01-06,734,Counter-Strike 2
2026-01-07,862,Counter-Strike 2
2026-01-08,668,Counter-Strike 2
2026-01-09,822,Counter-Strike 2
2026-01-10,578,Counter-Strike 2
2026-01-11,648,Counter-Strike 2
2026-01-12,942,Counter-Strike 2
