Genre,Number of Games,Total Players,Average Playtime
1623730,0,"50,000,000 .. 100,000,000",3789
2694490,0,"20,000,000 .. 50,000,000",8095
438100,0,"20,000,000 .. 50,000,000",4418
892970,0,"10,000,000 .. 20,000,000",4250
739630,0,"10,000,000 .. 20,000,000",2375
108600,0,"10,000,000 .. 20,000,000",4250
1966720,0,"10,000,000 .. 20,000,000",1371
3164500,0,"10,000,000 .. 20,000,000",1574
3241660,0,"10,000,000 .. 20,000,000",1092
284160,0,"5,000,000 .. 10,000,000",4785
1229490,0,"5,000,000 .. 10,000,000",1489
844870,0,"5,000,000 .. 10,000,000",1672
671860,0,"5,000,000 .. 10,000,000",1488
813820,0,"5,000,000 .. 10,000,000",672
355840,0,"2,000,000 .. 5,000,000",1408
1203620,0,"2,000,000 .. 5,000,000",2376
1832640,0,"2,000,000 .. 5,000,000",263
1366540,0,"2,000,000 .. 5,000,000",5070
387990,0,"2,000,000 .. 5,000,000",3231
1363080,0,"2,000,000 .. 5,000,000",1088
2479810,0,"2,000,000 .. 5,000,000",2631
3097560,0,"2,000,000 .. 5,000,000",274
838350,0,"2,000,000 .. 5,000,000",4739
2399830,0,"2,000,000 .. 5,000,000",10949
1372880,0,"2,000,000 .. 5,000,000",0
302830,0,"2,000,000 .. 5,000,000",540
736590,0,"2,000,000 .. 5,000,000",153
1371980,0,"2,000,000 .. 5,000,000",1028
3070070,0,"2,000,000 .. 5,000,000",1537
1476970,0,"1,000,000 .. 2,000,000",15848
509980,0,"1,000,000 .. 2,000,000",437
636480,0,"1,000,000 .. 2,000,000",2026
1241100,0,"1,000,000 .. 2,000,000",246
809960,0,"1,000,000 .. 2,000,000",133
834910,0,"1,000,000 .. 2,000,000",7460
2012510,0,"1,000,000 .. 2,000,000",182
1987080,0,"1,000,000 .. 2,000,000",456
1307550,0,"1,000,000 .. 2,000,000",1266
1017180,0,"1,000,000 .. 2,000,000",788
490220,0,"1,000,000 .. 2,000,000",4954
625960,0,"1,000,000 .. 2,000,000",2322
1062090,0,"1,000,000 .. 2,000,000",2514
457330,0,"1,000,000 .. 2,000,000",216
16900,0,"1,000,000 .. 2,000,000",1161
230290,0,"1,000,000 .. 2,000,000",541
655500,0,"1,000,000 .. 2,000,000",7657
2456740,0,"1,000,000 .. 2,000,000",700
450540,0,"1,000,000 .. 2,000,000",2563
1022450,0,"1,000,000 .. 2,000,000",1459
1206560,0,"1,000,000 .. 2,000,000",1509
903950,0,"1,000,000 .. 2,000,000",11038
728540,0,"1,000,000 .. 2,000,000",344
1810580,0,"1,000,000 .. 2,000,000",1634
1789480,0,"1,000,000 .. 2,000,000",2534
707010,0,"1,000,000 .. 2,000,000",2036
558100,0,"1,000,000 .. 2,000,000",413
347560,0,"1,000,000 .. 2,000,000",319
1226470,0,"500,000 .. 1,000,000",132
1025580,0,"500,000 .. 1,000,000",7477
376210,0,"500,000 .. 1,000,000",6475
2141730,0,"500,000 .. 1,000,000",278
485310,0,"500,000 .. 1,000,000",326
529180,0,"500,000 .. 1,000,000",3027
2406770,0,"500,000 .. 1,000,000",410
1898300,0,"500,000 .. 1,000,000",1521
337950,0,"500,000 .. 1,000,000",102
462930,0,"500,000 .. 1,000,000",472
716350,0,"500,000 .. 1,000,000",518
332570,0,"500,000 .. 1,000,000",1415
1139980,0,"500,000 .. 1,000,000",1137
2163330,0,"500,000 .. 1,000,000",1059
1213740,0,"500,000 .. 1,000,000",426
266430,0,"500,000 .. 1,000,000",63
991780,0,"500,000 .. 1,000,000",1468
1088090,0,"500,000 .. 1,000,000",1463
1029780,0,"500,000 .. 1,000,000",2149
557180,0,"500,000 .. 1,000,000",547
2378900,0,"500,000 .. 1,000,000",615
424030,0,"500,000 .. 1,000,000",1847
753650,0,"500,000 .. 1,000,000",496
774801,0,"500,000 .. 1,000,000",1103
